typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1266.326,TRUE,-1,N/A,0,FALSE,1266.326,TRUE,0,FALSE,,2356.317,2356.317,6,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1048977.498,TRUE,8,kg,1048876,FALSE,1048977.498,TRUE,0,FALSE,272637.15,,272637.15,6,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1112.732,TRUE,8,kg,1104,FALSE,1112.732,TRUE,0,FALSE,,21920.12,21920.12,6,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,487818,FALSE,,FALSE,0,FALSE,4700117.833,,4700117.833,0,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10042,FALSE,8,kg,10042,FALSE,10042,FALSE,0,FALSE,,117039.863,117039.863,0,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,328317737,FALSE,,FALSE,0,FALSE,3103540081,,3103540081,0,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23834643,FALSE,8,kg,23834643,FALSE,23834643,FALSE,0,FALSE,,185980793.1,185980793.1,0,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28.674,TRUE,-1,N/A,0,FALSE,28.674,TRUE,0,FALSE,338.564,,338.564,6,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,528,FALSE,8,kg,528,FALSE,528,FALSE,0,FALSE,,27895.199,27895.199,0,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78,FALSE,8,kg,78,FALSE,78,FALSE,0,FALSE,7741.45,,7741.45,0,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,80494,FALSE,8,kg,80494,FALSE,80494,FALSE,0,FALSE,,718780,718780,0,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57686,FALSE,8,kg,57686,FALSE,57686,FALSE,0,FALSE,697184.569,,697184.569,0,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,8,kg,3,FALSE,3,FALSE,0,FALSE,,510.119,510.119,0,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7162803,FALSE,8,kg,7162803,FALSE,7162803,FALSE,0,FALSE,70244458.47,,70244458.47,0,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,220720,FALSE,8,kg,220720,FALSE,220720,FALSE,0,FALSE,,863897.48,863897.48,0,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,1215717.389,,1215717.389,0,FALSE,TRUE
C,A,20240101,2024,52,2024,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,457706.042,TRUE,-1,N/A,0,FALSE,457706.042,TRUE,0,FALSE,,3660173.26,3660173.26,6,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5721449.18,TRUE,8,kg,5721431,FALSE,5721449.18,TRUE,0,FALSE,54700320.22,,54700320.22,6,FALSE,TRUE
C,A,20240101,2024,52,2024,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3252025.81,TRUE,8,kg,3251909,FALSE,3252025.81,TRUE,0,FALSE,,29192578.4,29192578.4,6,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,62235,FALSE,8,kg,62235,FALSE,62235,FALSE,0,FALSE,114074,105576.53,114074,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,473575927,FALSE,8,kg,473575927,FALSE,473575927,FALSE,0,FALSE,,662291999,662291999,0,FALSE,TRUE
C,A,20240101,2024,52,2024,807,MKD,North Macedonia,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,35340819,FALSE,8,kg,35340819,FALSE,35340819,FALSE,0,FALSE,,72814149.13,72814149.13,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,1333,FALSE,,FALSE,0,FALSE,244737.259,,244737.259,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70543,FALSE,8,kg,70543,FALSE,70543,FALSE,0,FALSE,,190512.809,190512.809,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,472038,FALSE,8,kg,472038,FALSE,472038,FALSE,0,FALSE,320761,314237,320761,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,2810621782,2810621782,0,FALSE,TRUE
C,A,20240101,2024,52,2024,860,UZB,Uzbekistan,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77349890,FALSE,21,1000 KG,77349.89,FALSE,77349890,FALSE,0,FALSE,237916531,,237916531,0,FALSE,TRUE
C,A,20240101,2024,52,2024,860,UZB,Uzbekistan,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,260300,Copper ores and concentrates,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,152780,FALSE,21,1000 KG,152.78,FALSE,152780,FALSE,0,FALSE,,166254,166254,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,359678936,FALSE,8,kg,359678936,FALSE,359678936,FALSE,0,FALSE,3349784187,3056433954,3349784187,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,1035547,FALSE,,FALSE,0,FALSE,,8969567,8969567,0,FALSE,TRUE
C,A,20240101,2024,52,2024,807,MKD,North Macedonia,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,219059,FALSE,8,kg,219059,FALSE,219059,FALSE,0,FALSE,1999926.45,,1999926.45,0,FALSE,TRUE
C,A,20240101,2024,52,2024,807,MKD,North Macedonia,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,690371,FALSE,8,kg,690371,FALSE,690371,FALSE,0,FALSE,,6271490.96,6271490.96,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,10126305,FALSE,,FALSE,0,FALSE,94741992,,94741992,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,8791,FALSE,,FALSE,0,FALSE,,170505.514,170505.514,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,907795475,FALSE,,FALSE,0,FALSE,8536729637,8474483678,8536729637,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,161247770,FALSE,,FALSE,0,FALSE,,1586129375,1586129375,0,FALSE,TRUE
C,A,20240101,2024,52,2024,854,BFA,Burkina Faso,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1649,FALSE,8,kg,1649,FALSE,1649,FALSE,0,FALSE,18226.246,,18226.246,0,FALSE,TRUE
C,A,20240101,2024,52,2024,860,UZB,Uzbekistan,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740311,"Copper; refined, unwrought, cathodes and sections of cathodes",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78264160,FALSE,21,1000 KG,78264.16,FALSE,78264160,FALSE,0,FALSE,,687599178,687599178,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,208,FALSE,8,kg,208,FALSE,208,FALSE,0,FALSE,5213,4595,5213,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1603,FALSE,8,kg,1603,FALSE,1603,FALSE,0,FALSE,,17611,17611,0,FALSE,TRUE
C,A,20240101,2024,52,2024,807,MKD,North Macedonia,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43,FALSE,8,kg,43,FALSE,43,FALSE,0,FALSE,232.37,,232.37,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,391,FALSE,8,kg,391,FALSE,391,FALSE,0,FALSE,19676.269,,19676.269,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,930,FALSE,8,kg,930,FALSE,930,FALSE,0,FALSE,,16823.562,16823.562,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,216,FALSE,8,kg,216,FALSE,216,FALSE,0,FALSE,7263,7261,7263,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740312,"Copper; refined, unwrought, wire-bars",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11752564,FALSE,8,kg,11752564,FALSE,11752564,FALSE,0,FALSE,,19344591,19344591,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,949924,FALSE,8,kg,949924,FALSE,949924,FALSE,0,FALSE,9470185,8483302,9470185,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,474775,FALSE,8,kg,474775,FALSE,474775,FALSE,0,FALSE,,3681042,3681042,0,FALSE,TRUE
C,A,20240101,2024,52,2024,807,MKD,North Macedonia,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,52,FALSE,8,kg,52,FALSE,52,FALSE,0,FALSE,854.53,,854.53,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3868,FALSE,8,kg,3868,FALSE,3868,FALSE,0,FALSE,124059.549,,124059.549,0,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,16789,FALSE,,FALSE,0,FALSE,,114066.126,114066.126,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,967814,FALSE,8,kg,967814,FALSE,967814,FALSE,0,FALSE,10149490,9881902,10149490,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740313,"Copper; refined, unwrought, billets",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,259010.242,TRUE,8,kg,251693,FALSE,259010.242,TRUE,0,FALSE,,1804982,1804982,6,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6875503,FALSE,8,kg,6875503,FALSE,6875503,FALSE,0,FALSE,60108892,53137843.25,60108892,0,FALSE,TRUE
C,A,20240101,2024,52,2024,792,TUR,Trkiye,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4419640,FALSE,8,kg,4419640,FALSE,4419640,FALSE,0,FALSE,,39014463,39014463,0,FALSE,TRUE
C,A,20240101,2024,52,2024,807,MKD,North Macedonia,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.628,TRUE,8,kg,1,FALSE,9.628,TRUE,0,FALSE,146.58,,146.58,6,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,422262.25,TRUE,-1,N/A,0,FALSE,422262.25,TRUE,0,FALSE,1991885.168,,1991885.168,6,FALSE,TRUE
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,5220734.758,5220734.758,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,1310545,FALSE,,FALSE,0,FALSE,15538194,15051768,15538194,0,FALSE,TRUE
C,A,20240101,2024,52,2024,842,USA,USA,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14449067,FALSE,8,kg,14449067,FALSE,14449067,FALSE,0,FALSE,,125504807,125504807,0,FALSE,TRUE
C,A,20240101,2024,52,2024,854,BFA,Burkina Faso,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8384,FALSE,8,kg,8384,FALSE,8384,FALSE,0,FALSE,5153.813,,5153.813,0,FALSE,TRUE
C,A,20240101,2024,52,2024,860,UZB,Uzbekistan,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,740319,"Copper; refined, unwrought, n.e.c. in item no. 7403.1",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1062.543,TRUE,21,1000 KG,1.05,FALSE,1062.543,TRUE,0,FALSE,12535.98,,12535.98,6,FALSE,TRUE
